DDQNTSCA,Andrew vidali [14]
139399,170793
124270,200656
112180,163556
153504,140967
126368,240185
134355,171213
128685,222999
124545,154530
125396,171397
134601,217058
222500,316632
135593,224300
132055,168126
111775,207914
109001,188256
114767,149470
121433,133261
135726,221887
116591,167170
118220,182375
292710,382838
134416,309478
252016,342486
116821,222390
168843,144808
119065,191699
124827,169722
112137,140460
110042,174802
103679,126102
123344,176111
129255,129229
106786,206770
109486,243442
147705,209368
250177,337268
114087,179840
122506,200784
133394,256904
323543,277663
276679,341638
112821,157709
113630,128403
113430,164586
105908,210284
126199,198874
223961,311384
108154,166798
254418,315579
240913,300957
187989,176360
108795,229926
110974,199374
134884,204764
302408,288560
133908,156985
226898,334790
127123,193017
104491,228236
106554,218734
264304,232429
114756,168468
117324,180329
101933,202718
110628,144599
94643,179156
106214,160804
160817,198054
89631,228626
116884,203621
109152,206133
250309,322006
128577,241574
113150,290235
106146,155628
107378,124577
104465,134766
287599,359922
157805,132082
104902,224331
281395,224486
112775,234167
111642,234444
113772,198391
95774,146825
262950,321842
265697,283815
92552,164880
222471,255237
249567,417761
118917,168951
92307,139806
211996,166014
302260,325047
107520,144010
125904,196957
96488,153769
101681,191464
336640,296607
247936,289977
139078,185657
265014,329254
111152,187021
118588,247088
110983,203489
204954,255754
102316,119272
118514,147203
110741,158174
214506,359089
100601,126029
96515,204093
95591,193425
92934,153341
235657,285490
91709,205446
115173,208608
281676,303594
110830,139558
104206,170051
101450,234641
144155,268890
105447,240355
123501,182661
85825,164008
105261,168552
236915,303760
258115,273649
216691,309781
102303,159203
97259,172968
271528,323041
143929,160246
94642,119255
101900,143612
122072,157806
97943,260373
95813,167904
117677,166128
116266,151548
300434,401076
86724,269174
105571,155227
118266,221110
119574,259320
108760,204399
91919,209646
214236,364377
96084,171526
284879,374847
93521,161542
137336,213491
90858,219401
97343,126176
223055,260118
88435,168962
105610,240122
181372,364552
106853,131583
126842,167973
251115,307382
126934,203564
94414,240889
103122,156181
101087,138847
84178,239198
120227,157583
233529,322486
92764,153797
94749,256264
100511,155624
98223,143500
125280,146270
234090,305627
102410,139914
91402,122166
90053,116326
287617,291302
281765,309619
76983,184715
178287,424439
292105,315280
92887,174410
226578,371041
96002,173844
98368,176083
104551,203823
117349,235361
86291,147243
116541,130437
102300,126888
120078,147244
80994,194256
141711,264535
89340,247752
95842,122148
94145,239964
233586,354297
100391,200433
98480,156427
80952,179921
229001,296941
98778,140451
86972,226768
309298,328004
82744,162788
254109,317379
276407,303305
103850,195060
232546,301046
79738,113178
91815,160862
107514,217706
107941,234316
115990,187291
106766,213916
181032,228147
100188,195044
85374,149983
261189,312736
96329,212815
76702,158238
95566,207386
92243,205120
239782,297323
277778,254522
261633,222393
118325,156200
187087,253769
88337,223188
76304,166184
113343,184932
83571,160617
100931,104333
73453,140698
110704,136334
216850,303918
208882,236321
95159,121398
237859,276503
267974,324002
107168,184208
92932,213670
119327,133096
261799,226910
94920,128285
80457,133254
101394,177723
142710,188769
118274,174332
113512,174323
89781,200060
93990,247380
246981,463004
91226,153209
116731,183353
244890,409489
79925,261981
93547,201840
73799,169861
77890,279048
92590,199657
121078,248131
79115,180698
85198,164875
100536,328674
104054,193515
269311,311093
112878,210783
91680,141570
221463,302038
290215,301931
214734,246195
93161,127557
93752,211354
87700,137682
209449,303247
103896,137721
92408,137290
121608,152019
221418,324688
88327,202016
111703,160517
94378,184273
245724,316688
96965,191967
278033,306631
101203,311620
99687,157446
97097,205702
131208,182351
88596,178424
94848,196007
88101,185326
92432,162257
279203,338997
82350,135585
117586,152634
81132,172476
96556,145229
91030,168207
148422,222483
71837,160761
97238,160293
106561,154667
213835,313558
272904,401126
90164,109125
82832,193715
97568,298369
110251,148337
162375,158288
272244,372401
90567,149610
89764,233963
218372,240484
224242,252248
231817,319911
96436,136240
92115,117638
103734,292324
96209,330812
133311,293885
272747,363840
92119,199548
81792,249491
102532,151948
93663,312147
104376,252269
249197,292850
114164,145316
108965,139514
111085,187842
75197,221340
138503,229596
76332,185850
121613,194034
94367,137765
120734,201554
200381,290724
131095,210217
94495,154460
265746,229168
193595,293745
106994,241146
300787,345492
78855,213631
288512,384117
76115,297650
89915,262121
267518,363985
114572,165659
234013,399063
83183,411966
198163,344489
103781,233001
94226,191378
86937,146852
97631,151169
119552,257834
114982,274045
137733,280451
121495,220669
217014,380406
231528,280606
88004,238031
86044,156383
71120,247574
